City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
137,Capao Da Canoa,BR,-29.7456,-50.0097,54.32,78,100,20.67,light rain
138,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,13.8,scattered clouds
139,Hasaki,JP,35.7333,140.8333,75.49,73,80,13.38,broken clouds
140,Te Anau,NZ,-45.4167,167.7167,45.86,92,100,5.14,overcast clouds
141,Kapaa,US,22.0752,-159.319,79.12,83,75,12.66,broken clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,90,4.61,overcast clouds
143,Coquimbo,CL,-29.9533,-71.3436,53.33,62,0,4.61,clear sky
144,Cidreira,BR,-30.1811,-50.2056,54.28,70,73,18.95,broken clouds
145,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,75,10.36,moderate rain
146,Vrangel,RU,42.7297,133.0839,74.35,92,90,2.24,overcast clouds
147,Aktau,KZ,43.65,51.2,88.38,29,41,27.29,scattered clouds
148,Kahului,US,20.8947,-156.47,77.85,89,90,16.11,overcast clouds
149,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,74,40,19.57,scattered clouds
150,Cherskiy,RU,68.75,161.3,34.3,92,76,17.02,broken clouds
151,Guerrero Negro,MX,27.9769,-114.0611,68.79,81,0,7.94,clear sky
152,Koppang,NO,61.5706,11.0555,66.4,66,100,5.26,overcast clouds
153,Alofi,NU,-19.0595,-169.9187,66.09,100,49,0.0,scattered clouds
154,Kalmunai,LK,7.4167,81.8167,86.23,64,82,3.85,broken clouds
155,San Quintin,MX,30.4833,-115.95,67.84,88,8,8.12,clear sky
156,Muisne,EC,0.6,-80.0333,77.11,87,100,6.78,overcast clouds
157,Ukiah,US,39.1502,-123.2078,70.38,61,1,0.0,clear sky
158,Kirkwall,GB,58.9848,-2.9587,61.14,88,75,3.44,broken clouds
159,Vallenar,CL,-28.5708,-70.7581,61.68,23,0,1.59,clear sky
160,Pisco,PE,-13.7,-76.2167,64.45,82,20,1.14,mist
161,Quthing,LS,-30.4,27.7003,56.55,19,8,8.19,clear sky
162,Carnarvon,AU,-24.8667,113.6333,57.27,64,40,8.05,scattered clouds
163,West Bay,KY,19.3667,-81.4167,87.06,76,75,1.99,broken clouds
164,Tual,ID,-5.6667,132.75,81.41,80,98,19.06,overcast clouds
165,Scarborough,GB,54.2797,-0.4044,74.86,72,100,1.01,overcast clouds
166,Maraba,BR,-5.3686,-49.1178,91.58,46,0,4.61,clear sky
167,Palmeiras De Goias,BR,-16.805,-49.9258,82.9,26,5,6.15,clear sky
168,Olafsvik,IS,64.8945,-23.7142,53.29,71,62,15.73,broken clouds
169,Vao,NC,-22.6667,167.4833,68.45,58,38,14.47,scattered clouds
170,Port Augusta,AU,-32.5,137.7667,60.94,83,100,16.75,overcast clouds
171,Byron Bay,AU,-28.65,153.6167,60.75,80,0,10.51,clear sky
172,Pokrovsk,UA,48.282,37.1758,86.86,31,9,7.0,clear sky
173,Lorengau,PG,-2.0226,147.2712,82.51,75,29,8.19,scattered clouds
174,Sola,VU,-13.8833,167.55,79.95,77,85,19.93,overcast clouds
175,Shache,CN,38.4167,77.2406,94.48,14,0,8.01,clear sky
176,Chuy,UY,-33.6971,-53.4616,45.9,54,0,16.62,clear sky
