City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
204,Sabang,ID,83.77,overcast clouds,5.8933,95.3214,Hotel Citra
206,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
207,Oussouye,SN,87.51,broken clouds,12.485,-16.5469,Auberge du Routard
212,Berbera,SO,89.33,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
219,Kavieng,PG,82.87,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
222,Velikiy Novgorod,RU,82.74,overcast clouds,58.5167,31.2833,Sadko
225,Kurovskoye,RU,84.72,scattered clouds,55.5783,38.9108,Arm-Prestizh
227,Guane,CU,85.75,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
231,Victoria,HK,87.78,light rain,22.2855,114.1577,Mini Hotel Central
235,Kruisfontein,ZA,80.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
238,Palmer,US,83.95,few clouds,42.1584,-72.3287,Wedgewood Motel
239,Lanja,IN,76.46,light rain,16.85,73.55,Brahmagiri
244,Gdov,RU,81.68,overcast clouds,58.7406,27.8122,Ustje Beach Resort
249,Angoche,MZ,75.24,clear sky,-16.2325,39.9086,Guest House HESADA
250,Nikolskoye,RU,86.02,broken clouds,59.7035,30.7861,Tourist House - Sablino
251,Thinadhoo,MV,82.38,scattered clouds,0.5333,72.9333,
252,Tirumullaivasal,IN,88.79,overcast clouds,11.2333,79.8333,My own house
256,Caravelas,BR,80.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
259,Mint Hill,US,83.44,clear sky,35.1796,-80.6473,Meadowbrook
260,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
261,Lexington,US,81.55,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
264,Savonlinna,FI,82.26,clear sky,61.8699,28.88,Spahotel Casino
265,Laguna,US,78.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
266,Log,RU,85.08,broken clouds,49.4844,43.8613,
267,Presidente Epitacio,BR,86.07,clear sky,-21.7633,-52.1156,Hotel Itaverá
273,Callaway,US,89.94,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
276,Bhadrachalam,IN,84.6,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
279,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
281,Sibolga,ID,78.12,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
282,Shingu,JP,75.51,overcast clouds,33.7333,135.9833,Shingu UI Hotel
283,Alugan,PH,81.45,moderate rain,12.2188,125.4808,JM Lodge
285,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
286,Sao Bento,BR,88.25,clear sky,-6.2833,-37.75,
289,Juba,SS,75.78,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
298,Shihezi,CN,88.84,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
